"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog"
"21243","BIOL 5000-01","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Benjamin D. Duval","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5000",""
"21244","BIOL 5000-02","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Linda C. DeVeaux","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5000",""
"21245","BIOL 5000-03","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Thomas Kieft","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5000",""
"21246","BIOL 5000-04","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Snezna Rogelj","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5000",""
"21247","BIOL 5000-05","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Joel T. Sharbrough","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5000",""
"21248","BIOL 5001-01","M","M","08/14/2023-12/08/2023","1200-1250","","1","CLAS","Graduate  Seminar","Benjamin D. Duval & Joel T. Sharbrough","19","20","1","0","$10","https://catalog.nmt.edu/courses/BIOL5001",""
"21235","BIOL 5031-01","M","M W F","08/14/2023-12/08/2023","1100-1150","","3","CLAS","Virology","Linda C. DeVeaux","9","15","6","0","$25","https://catalog.nmt.edu/courses/BIOL5031",""
"21237","BIOL 5035-01","M","T R","08/14/2023-12/08/2023","1100-1215","","3","CLAS","Bioinformatics","Joel T. Sharbrough","10","10","0","0","$25","https://catalog.nmt.edu/courses/BIOL5035",""
"21242","BIOL 5082-01D","M","W","08/14/2023-12/08/2023","1900-2050","WEB-V","1","CLAS","FreeStyle Bio Sciences","Snezna Rogelj","0","0","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5082",""
"21221","BIOL 5089-01","M","T R","08/14/2023-12/08/2023","1100-1215","SPEARE 23","3","CLAS","Exp. Cell Biology & BioT","Snezna Rogelj","10","10","0","0","$25","https://catalog.nmt.edu/courses/BIOL5089",""
"21249","BIOL 5091-01","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Benjamin D. Duval","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"21250","BIOL 5091-02","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Linda C. DeVeaux","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"21251","BIOL 5091-03","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Thomas Kieft","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"21252","BIOL 5091-04","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Snezna Rogelj","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"21253","BIOL 5091-05","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Joel T. Sharbrough","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"21255","BIOL 5091-06","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Daniel S. Jones","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"21506","BIOT 5031-01","M","T R","08/14/2023-12/08/2023","1100-1215","SPEARE 23","3","CLAS","ExpCellBio & BioT","Snezna Rogelj","9","10","1","0","$25","https://catalog.nmt.edu/courses/BIOT5031",""
"22344","BIOT 5035-01","M","T R","08/14/2023-12/08/2023","1100-1215","","3","CLAS","Bioinformatics","Joel T. Sharbrough","10","10","0","0","$25","https://catalog.nmt.edu/courses/BIOT5035",""
"21499","BIOT 5089-02","M","T R","08/14/2023-12/08/2023","0930-1045","","3","CLAS","Bioinspiration & Biomimetics","Mostafa Hassanalian","10","10","0","0","$60","https://catalog.nmt.edu/courses/BIOT5089",""
"21501","BIOT 5089-03","M","M W F","08/14/2023-12/08/2023","1100-1150","","3","CLAS","Bioanalytical Chemistry","Menake E. Piyasena","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOT5089",""
"21507","BIOT 5095-01","M","","08/14/2023-12/08/2023","","","1","CLAS","Dissertation","Snezna Rogelj","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOT5095",""
"21508","BIOT 5095-02","M","","08/14/2023-12/08/2023","","","1","CLAS","Dissertation","Praveen Patidar","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOT5095",""
"21509","BIOT 5095-03","M","","08/14/2023-12/08/2023","","","1","CLAS","Dissertation","Linda C. DeVeaux","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOT5095",""
"21510","BIOT 5095-04","M","","08/14/2023-12/08/2023","","","1","CLAS","Dissertation","Michaelann S. Tartis","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOT5095",""
"21512","BIOT 5095-05","M","","08/14/2023-12/08/2023","","","1","CLAS","Dissertation","Stewart Thompson","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOT5095",""
"21359","CH E 1010-01","M","T R","08/14/2023-12/08/2023","1300-1350","","1","CLAS","Intro to Chemical Engineering","Michaelann S. Tartis","40","40","0","0","$35","https://catalog.nmt.edu/courses/CHE1010",""
"21360","CH E 1010L-01","M","T","08/14/2023-12/08/2023","1400-1600","JONES 201","1","CLAS","Intro to Chemical Engr. Lab","Michaelann S. Tartis","20","20","0","0","$50","https://catalog.nmt.edu/courses/CHE1010",""
"21361","CH E 3026-01","M","T R","08/14/2023-12/08/2023","0930-1045","","3","CLAS","Principles of Chemical Engr I","Michaelann S. Tartis","35","35","0","0","$35","https://catalog.nmt.edu/courses/CHE3026",""
"21362","CH E 3049-01","M","M W F","08/14/2023-12/08/2023","1100-1150","","3","CLAS","Chemical Engr. Thermodynamics","","28","30","2","0","$35","https://catalog.nmt.edu/courses/CHE3049",""
"21363","CH E 3071-01","M","T R","08/14/2023-12/08/2023","1100-1215","","3","CLAS","Solution Methods for Chem Eng","Youngmin Lee","11","15","4","0","$50","https://catalog.nmt.edu/courses/CHE3071",""
"21364","CH E 4045L-01","M","W","08/14/2023-12/08/2023","1400-1700","","1","CLAS","Unit Operations Lab","Pabitra Choudhury","16","20","4","0","$100","https://catalog.nmt.edu/courses/CHE4045",""
"22443","CH E 4053-01","M","M W F","08/14/2023-12/08/2023","1300-1350","","3","CLAS","Advanced Separation Processes","Jianjia Yu","9","10","1","0","N/A","https://catalog.nmt.edu/courses/CHE4053",""
"21365","CH E 4061-01","M","T R","08/14/2023-12/08/2023","1230-1345","","3","CLAS","Plant Design, Econ, & Mgmt I","Corey A. Leclerc","17","20","3","0","$75","https://catalog.nmt.edu/courses/CHE4061",""
"22442","CH E 5053-01","M","M W F","08/14/2023-12/08/2023","1300-1350","","3","CLAS","Advanced Separation Processes","Jianjia Yu","9","10","1","0","N/A","https://catalog.nmt.edu/courses/CHE5053",""
"22461","CH E 5053-01D","DE","M W F","08/14/2023-12/08/2023","1300-1350","","3","CLAS","Advanced Separation Processes","Jianjia Yu","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5053",""
"21382","CH E 5085-01","M","F","08/14/2023-12/08/2023","1200-1250","","1","CLAS","Graduate Seminar","Seth T. Price","15","15","0","0","N/A","https://catalog.nmt.edu/courses/CHE5085",""
"21366","CH E 5089-01","M","T R","08/14/2023-12/08/2023","0930-1045","","3","CLAS","Conjugated Polymers","Youngmin Lee","18","20","2","0","N/A","https://catalog.nmt.edu/courses/CHE5089",""
"21367","CH E 5089-01D","DE","T R","08/14/2023-12/08/2023","0930-1045","","3","CLAS","Conjugated Polymers","Youngmin Lee","15","15","0","0","N/A","https://catalog.nmt.edu/courses/CHE5089",""
"21368","CH E 5091-01","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Pabitra Choudhury","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"21369","CH E 5091-02","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Sanchari Chowdhury","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"21370","CH E 5091-03","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Corey A. Leclerc","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"21371","CH E 5091-04","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Youngmin Lee","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"21383","CH E 5091-05","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Donglee Shin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"21384","CH E 5091-06","M","","08/14/2023-12/08/2023","","","1","CLAS","Thesis","Michaelann S. Tartis","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"20884","CHEM 0130-01","M","W","08/14/2023-12/08/2023","1200-1250","LOPEZ 216","1","CLAS","Issues in Chem and Biochem","Jeff A. Altig","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM0130",""
"20752","CHEM 0289-01","M","W","08/14/2023-12/08/2023","2000-2050","","1","CLAS","Chem Literature & Media","Jeff A. Altig","15","15","0","0","N/A","https://catalog.nmt.edu/courses/CHEM0289",""
"20690","CHEM 1120-01","M","T R","08/14/2023-12/08/2023","1830-2120","LOPEZ 106","4","CLAS","Intro to Chemistry","Ujith S. Madduma Bandarage","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1120",""
"20477","CHEM 1215-01","M","M W F","08/14/2023-12/08/2023","1000-1050","LOPEZ 106","3","CLAS","General Chemistry I","Wenyang Gao","45","45","0","0","N/A","https://catalog.nmt.edu/courses/CHEM1215",""
"20478","CHEM 1215-02","M","M W F","08/14/2023-12/08/2023","1300-1350","LOPEZ 106","3","CLAS","General Chemistry I","Sally C. Pias","45","45","0","0","N/A","https://catalog.nmt.edu/courses/CHEM1215",""
"20479","CHEM 1215-03","M","M W F","08/14/2023-12/08/2023","1100-1150","LOPEZ 106","3","CLAS","General Chemistry I","Ujith S. Madduma Bandarage","45","45","0","0","N/A","https://catalog.nmt.edu/courses/CHEM1215",""
"20750","CHEM 1215-05","M","MTWR","08/14/2023-12/08/2023","1700-1750","","3","CLAS","General Chemistry I (Advanced)","Jeff A. Altig","24","24","0","0","N/A","https://catalog.nmt.edu/courses/CHEM1215",""
"20480","CHEM 1215L-01","M","M","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20481","CHEM 1215L-02","M","M","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20482","CHEM 1215L-03","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20483","CHEM 1215L-04","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20484","CHEM 1215L-05","M","W","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20485","CHEM 1215L-06","M","R","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20561","CHEM 1215L-07","M","T","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20729","CHEM 1215L-09","M","R","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1215",""
"20486","CHEM 1225-01","M","M W F","08/14/2023-12/08/2023","0900-0950","LOPEZ 106","3","CLAS","General Chemistry II","Ujith S. Madduma Bandarage","70","70","0","0","N/A","https://catalog.nmt.edu/courses/CHEM1225",""
"20487","CHEM 1225L-01","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry II Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1225",""
"20488","CHEM 1225L-02","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry II Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1225",""
"20489","CHEM 1225L-03","M","R","08/14/2023-12/08/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry II Lab","Jeff A. Altig","24","24","0","0","$155","https://catalog.nmt.edu/courses/CHEM1225",""
"21257","CHEM 3000-01","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Wenyang Gao","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"21258","CHEM 3000-02","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Praveen Patidar","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"21259","CHEM 3000-03","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Sally C. Pias","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"21260","CHEM 3000-04","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Gayan R. Rubasinghege","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"21261","CHEM 3000-05","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Menake E. Piyasena","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"21262","CHEM 3000-06","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Nicolas E. Holubowitch","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"21264","CHEM 3011-01","M","M W F","08/14/2023-12/08/2023","1100-1150","","3","CLAS","Quantitative Analysis","Gayan R. Rubasinghege","55","60","5","0","N/A","https://catalog.nmt.edu/courses/CHEM3011",""
"21265","CHEM 3011L-01","M","M","08/14/2023-12/08/2023","1400-1630","LOPEZ 136","1","CLAS","Quantitative Analysis Lab","Jeff A. Altig","20","24","4","0","$155","https://catalog.nmt.edu/courses/CHEM3011",""
"21266","CHEM 3011L-02","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 136","1","CLAS","Quantitative Analysis Lab","Jeff A. Altig","23","24","1","0","$155","https://catalog.nmt.edu/courses/CHEM3011",""
"21267","CHEM 3031-01","M","M W F","08/14/2023-12/08/2023","1300-1350","","3","CLAS","Physical Chemistry I","Jeff A. Altig","28","30","2","0","N/A","https://catalog.nmt.edu/courses/CHEM3031",""
"21268","CHEM 3031L-01","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 127","1","CLAS","Physical Chemistry I Lab","Jeff A. Altig","10","12","2","0","$155","https://catalog.nmt.edu/courses/CHEM3031",""
"21269","CHEM 3031L-02","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 127","1","CLAS","Physical Chemistry I Lab","Jeff A. Altig","11","12","1","0","$155","https://catalog.nmt.edu/courses/CHEM3031",""
"21271","CHEM 3033-01","M","M W F","08/14/2023-12/08/2023","0900-0950","","3","CLAS","Organic Chemistry I","","50","55","5","0","N/A","https://catalog.nmt.edu/courses/CHEM3033",""
"21272","CHEM 3033L-01","M","M","08/14/2023-12/08/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry I Lab","Jeff A. Altig","9","12","3","0","$155","https://catalog.nmt.edu/courses/CHEM3033",""
"21273","CHEM 3033L-02","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry I Lab","Jeff A. Altig","11","12","1","0","$155","https://catalog.nmt.edu/courses/CHEM3033",""
"21276","CHEM 3033L-03","M","R","08/14/2023-12/08/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry I Lab","Jeff A. Altig","12","12","0","0","$155","https://catalog.nmt.edu/courses/CHEM3033",""
"21279","CHEM 4011-01","M","M W F","08/14/2023-12/08/2023","0900-0950","","3","CLAS","Advanced Instrumental Methods","Menake E. Piyasena","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM4011",""
"21280","CHEM 4011L-01","M","R","08/14/2023-12/08/2023","1830-2100","LOPEZ 127","1","CLAS","Advanced Instrumental Lab","Jeff A. Altig","8","8","0","0","$155","https://catalog.nmt.edu/courses/CHEM4011",""
"21288","CHEM 4030-01","M","F","08/14/2023-12/08/2023","1400-1450","LOPEZ 106","1","CLAS","Chem and Biochem Seminar","Sally C. Pias","20","20","0","0","N/A","https://catalog.nmt.edu/courses/CHEM4030",""
"21289","CHEM 4041-01","M","M W F","08/14/2023-12/08/2023","1000-1050","","3","CLAS","Biochemistry I","Praveen Patidar","29","40","11","0","N/A","https://catalog.nmt.edu/courses/CHEM4041",""
"21290","CHEM 4041L-01","M","M","08/14/2023-12/08/2023","1400-1630","","1","CLAS","Biochemistry I Lab","Praveen Patidar","10","12","2","0","$155","https://catalog.nmt.edu/courses/CHEM4041",""
"21291","CHEM 4041L-02","M","T","08/14/2023-12/08/2023","1830-2100","","1","CLAS","Biochemistry I Lab","Praveen Patidar","9","12","3","0","$155","https://catalog.nmt.edu/courses/CHEM4041",""
"22460","CHEM 4061-01","M","T R","08/14/2023-12/08/2023","0930-1045","","3","CLAS","Intro Biomolec Simulations","Sally C. Pias","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM4061",""
"21297","CHEM 4089-01","M","T R","08/14/2023-12/08/2023","1100-1215","","3","CLAS","Advanced Electrochemistry","Nicolas E. Holubowitch","8","8","0","0","N/A","https://catalog.nmt.edu/courses/CHEM4089",""
"21303","CHEM 4093-01","M","","08/14/2023-12/08/2023","","","1","CLAS","Senior Research & Thesis I","Jeff A. Altig & Sally C. Pias","5","5","0","0","$155","https://catalog.nmt.edu/courses/CHEM4093",""
"21305","CHEM 4093-02","M","","08/14/2023-12/08/2023","","","1","CLAS","Senior Research & Thesis I","Wenyang Gao & Sally C. Pias","5","5","0","0","$155","https://catalog.nmt.edu/courses/CHEM4093",""
"21306","CHEM 4093-03","M","","08/14/2023-12/08/2023","","","1","CLAS","Senior Research & Thesis I","Praveen Patidar & Sally C. Pias","5","5","0","0","$155","https://catalog.nmt.edu/courses/CHEM4093",""
"21307","CHEM 4093-04","M","","08/14/2023-12/08/2023","","","1","CLAS","Senior Research & Thesis I","Sally C. Pias","5","5","0","0","$155","https://catalog.nmt.edu/courses/CHEM4093",""
"21308","CHEM 4093-05","M","","08/14/2023-12/08/2023","","","1","CLAS","Senior Research & Thesis I","Menake E. Piyasena & Sally C. Pias","5","5","0","0","$155","https://catalog.nmt.edu/courses/CHEM4093",""
"21310","CHEM 4093-06","M","","08/14/2023-12/08/2023","","","1","CLAS","Senior Research & Thesis I","Nicolas E. Holubowitch & Sally C. Pias","5","5","0","0","$155","https://catalog.nmt.edu/courses/CHEM4093",""
"21312","CHEM 4093-07","M","","08/14/2023-12/08/2023","","","1","CLAS","Senior Research & Thesis I","Gayan R. Rubasinghege & Sally C. Pias","5","5","0","0","$155","https://catalog.nmt.edu/courses/CHEM4093",""
"21315","CHEM 5000-01","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Wenyang Gao","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"21316","CHEM 5000-02","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Praveen Patidar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"21317","CHEM 5000-03","M","","08/14/2023-12/08/2023","","","1","CLAS","Directed Research","Sally C. Pias","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
