"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog","Float"
"10983","CSE 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","No Given Name Ramyaa","1","1","0","0","N/A","https://catalog.nmt.edu/courses/CSE5091",""
"11013","CSE 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Jun Zheng","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CSE5095",""
"10969","CYBS 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Lorie M. Liebrock","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5000",""
"10970","CYBS 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Dongwan Shin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5000",""
"10972","CYBS 5090-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Lorie M. Liebrock","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5090",""
"10973","CYBS 5090-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Dongwan Shin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5090",""
"10974","CYBS 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Lorie M. Liebrock","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5091",""
"10975","CYBS 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Dongwan Shin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5091",""
"10976","CYBS 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Lorie M. Liebrock","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5095",""
"10977","CYBS 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Dongwan Shin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CYBS5095",""
"10639","EE 5000-01","M","","06/05/2023-07/28/2023","","","3","CLAS","Directed Research","Scott Teare","1","1","0","0","N/A","https://catalog.nmt.edu/courses/EE5000",""
"10641","EE 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Rene Arechiga","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5091",""
"10645","EE 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Aly I. El-Osery","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5091",""
"10809","EE 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Anders M. Jorgensen","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5091",""
"10810","EE 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Seda Senay","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5091",""
"10811","EE 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Scott Teare","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5091",""
"10812","EE 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Kevin Wedeward","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5091",""
"10813","EE 5091-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Sihua Shao","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5091",""
"10814","EE 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Rene Arechiga","10","10","0","0","N/A","https://catalog.nmt.edu/courses/EE5095",""
"10815","EE 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Aly I. El-Osery","10","10","0","0","N/A","https://catalog.nmt.edu/courses/EE5095",""
"10816","EE 5095-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Anders M. Jorgensen","10","10","0","0","N/A","https://catalog.nmt.edu/courses/EE5095",""
"10817","EE 5095-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Seda Senay","10","10","0","0","N/A","https://catalog.nmt.edu/courses/EE5095",""
"10818","EE 5095-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Scott Teare","10","10","0","0","N/A","https://catalog.nmt.edu/courses/EE5095",""
"10819","EE 5095-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Kevin Wedeward","10","10","0","0","N/A","https://catalog.nmt.edu/courses/EE5095",""
"10820","EE 5095-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Sihua Shao","5","5","0","0","N/A","https://catalog.nmt.edu/courses/EE5095",""
"10626","ENGL 3041-01A","DE","","06/05/2023-07/28/2023","","","3","CLAS","Technical Writing","Marina Choy","15","20","5","0","N/A","https://catalog.nmt.edu/courses/ENGL3041",""
"10559","GEOB 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Study","Daniel S. Jones","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOB5000",""
"10560","GEOB 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Daniel S. Jones","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOB5095",""
"10561","GEOC 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Nelia Dunbar","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10563","GEOC 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Bonnie Frey","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10565","GEOC 5000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Alexander Gysi","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10566","GEOC 5000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","James B. Harrison","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10567","GEOC 5000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Matthew T. Heizler","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10568","GEOC 5000-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Daniel S. Jones","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10569","GEOC 5000-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Shari A. Kelley","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10571","GEOC 5000-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Philip Kyle","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10572","GEOC 5000-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","William C. McIntosh","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10573","GEOC 5000-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Michael V. Schaefer","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10575","GEOC 5000-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Laura E. Waters","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10577","GEOC 5000-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Matthew Zimmerer","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10821","GEOC 5000-13","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Nicole C. Hurtig","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5000",""
"10822","GEOC 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Nelia Dunbar","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10823","GEOC 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Bonnie Frey","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10824","GEOC 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Alexander Gysi","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10825","GEOC 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","James B. Harrison","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10826","GEOC 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Matthew T. Heizler","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10827","GEOC 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Nicole C. Hurtig","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10828","GEOC 5091-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Daniel S. Jones","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10829","GEOC 5091-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Shari A. Kelley","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10830","GEOC 5091-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Philip Kyle","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10831","GEOC 5091-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","William C. McIntosh","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10832","GEOC 5091-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Michael V. Schaefer","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10833","GEOC 5091-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Laura E. Waters","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10834","GEOC 5091-13","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Matthew Zimmerer","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5091",""
"10835","GEOC 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Nelia Dunbar","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10838","GEOC 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Bonnie Frey","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10839","GEOC 5095-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Alexander Gysi","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10840","GEOC 5095-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","James B. Harrison","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10841","GEOC 5095-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Matthew T. Heizler","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10842","GEOC 5095-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Nicole C. Hurtig","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10843","GEOC 5095-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Daniel S. Jones","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10844","GEOC 5095-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Shari A. Kelley","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10845","GEOC 5095-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Philip Kyle","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10846","GEOC 5095-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","William C. McIntosh","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10847","GEOC 5095-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Michael V. Schaefer","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10848","GEOC 5095-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Laura E. Waters","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10849","GEOC 5095-13","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Matthew Zimmerer","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOC5095",""
"10836","GEOP 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Robert Balch","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5000",""
"10837","GEOP 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Susan L. Bilek","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5000",""
"10850","GEOP 5000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","John Naliboff","9","10","1","0","N/A","https://catalog.nmt.edu/courses/GEOP5000",""
"10851","GEOP 5000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Alex J. Rinehart","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5000",""
"10852","GEOP 5000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Glenn A. Spinelli","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5000",""
"10853","GEOP 5000-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Jolante W. Van Wijk","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5000",""
"10854","GEOP 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Robert Balch","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10855","GEOP 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Susan L. Bilek","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10856","GEOP 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","John Naliboff","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10857","GEOP 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Alex J. Rinehart","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10858","GEOP 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Glenn A. Spinelli","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10859","GEOP 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Jolante W. Van Wijk","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10860","GEOP 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Robert Balch","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10861","GEOP 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Susan L. Bilek","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10862","GEOP 5095-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","John Naliboff","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10863","GEOP 5095-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Alex J. Rinehart","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10864","GEOP 5095-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Glenn A. Spinelli","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10865","GEOP 5095-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Jolante W. Van Wijk","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"11002","IT 122-01D","DE","MTWR","06/05/2023-07/28/2023","1600-1715","WEB-V","3","CLAS","Data Structure and Algorithms","Amy E. Knowles","5","5","0","0","N/A","https://catalog.nmt.edu/courses/IT122",""
"10921","MTLS 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Thomas D. Burleigh","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10922","MTLS 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Paul Fuierer","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10923","MTLS 5000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Chelsey Z. Hargather","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10924","MTLS 5000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Nikolai Kalugin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10925","MTLS 5000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Bhaskar Majumdar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10926","MTLS 5000-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","John McCoy","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10927","MTLS 5000-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Corey A. Leclerc","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10928","MTLS 5000-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Michaelann S. Tartis","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10929","MTLS 5000-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Pabitra Choudhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10930","MTLS 5000-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Sanchari Chowdhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10931","MTLS 5000-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Youngmin Lee","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10932","MTLS 5000-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Deep Choudhuri","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10984","MTLS 5000-13","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Donglee Shin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10933","MTLS 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Thomas D. Burleigh","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10934","MTLS 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Pabitra Choudhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10935","MTLS 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Sanchari Chowdhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10936","MTLS 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Paul Fuierer","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10937","MTLS 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Chelsey Z. Hargather","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
